cluster,opponent,round,win_rate
tactical,Stockfish-1000,10,0.0
tactical,Stockfish-1200,10,0.0
tactical,Stockfish-1400,10,0.0
tactical,Stockfish-1000,20,0.0
tactical,Stockfish-1200,20,0.0
tactical,Stockfish-1400,20,0.0
tactical,Stockfish-1000,30,10.0
tactical,Stockfish-1200,30,0.0
tactical,Stockfish-1400,30,0.0
tactical,Stockfish-1000,40,5.0
tactical,Stockfish-1200,40,0.0
tactical,Stockfish-1400,40,0.0
tactical,Stockfish-1000,50,5.0
tactical,Stockfish-1200,50,15.0
tactical,Stockfish-1400,50,5.0
tactical,Stockfish-1000,60,15.0
tactical,Stockfish-1200,60,5.0
tactical,Stockfish-1400,60,0.0
tactical,Stockfish-1000,70,30.0
tactical,Stockfish-1200,70,5.0
tactical,Stockfish-1400,70,0.0
tactical,Stockfish-1000,80,30.0
tactical,Stockfish-1200,80,20.0
tactical,Stockfish-1400,80,15.0
tactical,Stockfish-1000,90,40.0
tactical,Stockfish-1200,90,10.0
tactical,Stockfish-1400,90,0.0
tactical,Stockfish-1000,100,15.0
tactical,Stockfish-1200,100,35.0
tactical,Stockfish-1400,100,10.0
tactical,Stockfish-1000,110,40.0
tactical,Stockfish-1200,110,45.0
tactical,Stockfish-1400,110,5.0
tactical,Stockfish-1000,120,30.0
tactical,Stockfish-1200,120,20.0
tactical,Stockfish-1400,120,5.0
tactical,Stockfish-1000,130,0.0
tactical,Stockfish-1200,130,35.0
tactical,Stockfish-1400,130,10.0
tactical,Stockfish-1000,140,15.0
tactical,Stockfish-1200,140,20.0
tactical,Stockfish-1400,140,25.0
tactical,Stockfish-1000,150,40.0
tactical,Stockfish-1200,150,25.0
tactical,Stockfish-1400,150,30.0
tactical,Stockfish-1000,160,10.0
tactical,Stockfish-1200,160,10.0
tactical,Stockfish-1400,160,0.0
tactical,Stockfish-1000,170,25.0
tactical,Stockfish-1200,170,5.0
tactical,Stockfish-1400,170,10.0
tactical,Stockfish-1000,180,40.0
tactical,Stockfish-1200,180,10.0
tactical,Stockfish-1400,180,25.0
tactical,Stockfish-1000,190,30.0
tactical,Stockfish-1200,190,55.0
tactical,Stockfish-1400,190,10.0
tactical,Stockfish-1000,200,20.0
tactical,Stockfish-1200,200,20.0
tactical,Stockfish-1400,200,10.0
tactical,Stockfish-1000,210,65.0
