cluster,opponent,round,win_rate
tactical,Stockfish-1000,10,0.0
tactical,Stockfish-1200,10,0.0
tactical,Stockfish-1400,10,0.0
tactical,Stockfish-1000,20,0.0
tactical,Stockfish-1200,20,0.0
tactical,Stockfish-1400,20,0.0
tactical,Stockfish-1000,30,5.0
tactical,Stockfish-1200,30,0.0
tactical,Stockfish-1400,30,10.0
tactical,Stockfish-1000,40,0.0
tactical,Stockfish-1200,40,5.0
tactical,Stockfish-1400,40,0.0
tactical,Stockfish-1000,50,5.0
tactical,Stockfish-1200,50,0.0
tactical,Stockfish-1400,50,0.0
tactical,Stockfish-1000,60,5.0
tactical,Stockfish-1200,60,5.0
tactical,Stockfish-1400,60,0.0
tactical,Stockfish-1000,70,15.0
tactical,Stockfish-1200,70,10.0
tactical,Stockfish-1400,70,0.0
tactical,Stockfish-1000,80,20.0
tactical,Stockfish-1200,80,10.0
tactical,Stockfish-1400,80,10.0
tactical,Stockfish-1000,90,10.0
tactical,Stockfish-1200,90,20.0
tactical,Stockfish-1400,90,15.0
tactical,Stockfish-1000,100,5.0
tactical,Stockfish-1200,100,15.0
tactical,Stockfish-1400,100,5.0
tactical,Stockfish-1000,110,20.0
tactical,Stockfish-1200,110,0.0
tactical,Stockfish-1400,110,15.0
tactical,Stockfish-1000,120,25.0
tactical,Stockfish-1200,120,25.0
tactical,Stockfish-1400,120,40.0
tactical,Stockfish-1000,130,20.0
tactical,Stockfish-1200,130,25.0
tactical,Stockfish-1400,130,15.0
tactical,Stockfish-1000,140,25.0
tactical,Stockfish-1200,140,30.0
tactical,Stockfish-1400,140,15.0
tactical,Stockfish-1000,150,25.0
tactical,Stockfish-1200,150,40.0
tactical,Stockfish-1400,150,5.0
tactical,Stockfish-1000,160,30.0
tactical,Stockfish-1200,160,40.0
tactical,Stockfish-1400,160,0.0
tactical,Stockfish-1000,170,25.0
tactical,Stockfish-1200,170,15.0
tactical,Stockfish-1400,170,20.0
tactical,Stockfish-1000,180,25.0
tactical,Stockfish-1200,180,25.0
tactical,Stockfish-1400,180,30.0
tactical,Stockfish-1000,190,25.0
tactical,Stockfish-1200,190,0.0
tactical,Stockfish-1400,190,20.0
tactical,Stockfish-1000,200,25.0
tactical,Stockfish-1200,200,25.0
tactical,Stockfish-1400,200,10.0
tactical,Stockfish-1000,210,5.0
