cluster,opponent,round,win_rate
tactical,Stockfish-1000,10,0.0
tactical,Stockfish-1200,10,0.0
tactical,Stockfish-1400,10,0.0
tactical,Stockfish-1000,20,0.0
tactical,Stockfish-1200,20,0.0
tactical,Stockfish-1400,20,0.0
tactical,Stockfish-1000,30,5.0
tactical,Stockfish-1200,30,0.0
tactical,Stockfish-1400,30,0.0
tactical,Stockfish-1000,40,15.0
tactical,Stockfish-1200,40,5.0
tactical,Stockfish-1400,40,0.0
tactical,Stockfish-1000,50,5.0
tactical,Stockfish-1200,50,0.0
tactical,Stockfish-1400,50,0.0
tactical,Stockfish-1000,60,15.0
tactical,Stockfish-1200,60,0.0
tactical,Stockfish-1400,60,30.0
tactical,Stockfish-1000,70,30.0
tactical,Stockfish-1200,70,25.0
tactical,Stockfish-1400,70,10.0
tactical,Stockfish-1000,80,35.0
tactical,Stockfish-1200,80,5.0
tactical,Stockfish-1400,80,0.0
tactical,Stockfish-1000,90,15.0
tactical,Stockfish-1200,90,5.0
tactical,Stockfish-1400,90,10.0
tactical,Stockfish-1000,100,10.0
tactical,Stockfish-1200,100,0.0
tactical,Stockfish-1400,100,5.0
tactical,Stockfish-1000,110,30.0
tactical,Stockfish-1200,110,15.0
tactical,Stockfish-1400,110,25.0
tactical,Stockfish-1000,120,30.0
tactical,Stockfish-1200,120,45.0
tactical,Stockfish-1400,120,15.0
tactical,Stockfish-1000,130,10.0
tactical,Stockfish-1200,130,35.0
tactical,Stockfish-1400,130,15.0
tactical,Stockfish-1000,140,15.0
tactical,Stockfish-1200,140,20.0
tactical,Stockfish-1400,140,35.0
tactical,Stockfish-1000,150,40.0
tactical,Stockfish-1200,150,0.0
tactical,Stockfish-1400,150,10.0
tactical,Stockfish-1000,160,15.0
tactical,Stockfish-1200,160,15.0
tactical,Stockfish-1400,160,10.0
tactical,Stockfish-1000,170,40.0
tactical,Stockfish-1200,170,35.0
tactical,Stockfish-1400,170,10.0
tactical,Stockfish-1000,180,35.0
tactical,Stockfish-1200,180,50.0
tactical,Stockfish-1400,180,10.0
tactical,Stockfish-1000,190,30.0
tactical,Stockfish-1200,190,20.0
tactical,Stockfish-1400,190,10.0
tactical,Stockfish-1000,200,30.0
tactical,Stockfish-1200,200,30.0
tactical,Stockfish-1400,200,0.0
tactical,Stockfish-1000,210,25.0
