cluster,opponent,round,win_rate
tactical,Stockfish-1000,10,5.0
tactical,Stockfish-1200,10,0.0
tactical,Stockfish-1400,10,0.0
tactical,Stockfish-1000,20,0.0
tactical,Stockfish-1200,20,0.0
tactical,Stockfish-1400,20,0.0
tactical,Stockfish-1000,30,10.0
tactical,Stockfish-1200,30,5.0
tactical,Stockfish-1400,30,0.0
tactical,Stockfish-1000,40,5.0
tactical,Stockfish-1200,40,0.0
tactical,Stockfish-1400,40,0.0
tactical,Stockfish-1000,50,5.0
tactical,Stockfish-1200,50,5.0
tactical,Stockfish-1400,50,0.0
tactical,Stockfish-1000,60,10.0
tactical,Stockfish-1200,60,5.0
tactical,Stockfish-1400,60,20.0
tactical,Stockfish-1000,70,5.0
tactical,Stockfish-1200,70,10.0
tactical,Stockfish-1400,70,0.0
tactical,Stockfish-1000,80,20.0
tactical,Stockfish-1200,80,5.0
tactical,Stockfish-1400,80,0.0
tactical,Stockfish-1000,90,15.0
tactical,Stockfish-1200,90,20.0
tactical,Stockfish-1400,90,10.0
tactical,Stockfish-1000,100,25.0
tactical,Stockfish-1200,100,15.0
tactical,Stockfish-1400,100,5.0
tactical,Stockfish-1000,110,20.0
tactical,Stockfish-1200,110,20.0
tactical,Stockfish-1400,110,5.0
tactical,Stockfish-1000,120,15.0
tactical,Stockfish-1200,120,40.0
tactical,Stockfish-1400,120,10.0
tactical,Stockfish-1000,130,25.0
tactical,Stockfish-1200,130,20.0
tactical,Stockfish-1400,130,20.0
tactical,Stockfish-1000,140,15.0
tactical,Stockfish-1200,140,15.0
tactical,Stockfish-1400,140,15.0
tactical,Stockfish-1000,150,35.0
tactical,Stockfish-1200,150,5.0
tactical,Stockfish-1400,150,25.0
tactical,Stockfish-1000,160,20.0
tactical,Stockfish-1200,160,35.0
tactical,Stockfish-1400,160,20.0
tactical,Stockfish-1000,170,10.0
tactical,Stockfish-1200,170,15.0
tactical,Stockfish-1400,170,30.0
tactical,Stockfish-1000,180,30.0
tactical,Stockfish-1200,180,10.0
tactical,Stockfish-1400,180,25.0
tactical,Stockfish-1000,190,30.0
tactical,Stockfish-1200,190,40.0
tactical,Stockfish-1400,190,20.0
tactical,Stockfish-1000,200,35.0
tactical,Stockfish-1200,200,20.0
tactical,Stockfish-1400,200,20.0
tactical,Stockfish-1000,210,35.0
tactical,Stockfish-1200,210,15.0
tactical,Stockfish-1400,210,35.0
tactical,Stockfish-1000,220,45.0
tactical,Stockfish-1200,220,25.0
tactical,Stockfish-1400,220,35.0
tactical,Stockfish-1000,230,25.0
tactical,Stockfish-1200,230,25.0
tactical,Stockfish-1400,230,15.0
tactical,Stockfish-1000,240,30.0
tactical,Stockfish-1200,240,35.0
tactical,Stockfish-1400,240,25.0
tactical,Stockfish-1000,250,40.0
tactical,Stockfish-1200,250,25.0
tactical,Stockfish-1400,250,30.0
tactical,Stockfish-1000,260,50.0
tactical,Stockfish-1200,260,25.0
tactical,Stockfish-1400,260,35.0
tactical,Stockfish-1000,270,45.0
tactical,Stockfish-1200,270,45.0
tactical,Stockfish-1400,270,30.0
tactical,Stockfish-1000,280,40.0
tactical,Stockfish-1200,280,55.0
tactical,Stockfish-1400,280,25.0
tactical,Stockfish-1000,290,50.0
tactical,Stockfish-1200,290,15.0
tactical,Stockfish-1400,290,30.0
tactical,Stockfish-1000,300,40.0
tactical,Stockfish-1200,300,35.0
tactical,Stockfish-1400,300,30.0
tactical,Stockfish-1000,310,30.0
tactical,Stockfish-1200,310,35.0
tactical,Stockfish-1400,310,35.0
tactical,Stockfish-1000,320,55.0
tactical,Stockfish-1200,320,35.0
tactical,Stockfish-1400,320,10.0
tactical,Stockfish-1000,330,20.0
tactical,Stockfish-1200,330,30.0
tactical,Stockfish-1400,330,50.0
tactical,Stockfish-1000,340,50.0
tactical,Stockfish-1200,340,25.0
tactical,Stockfish-1400,340,25.0
tactical,Stockfish-1000,350,20.0
tactical,Stockfish-1200,350,40.0
tactical,Stockfish-1400,350,30.0
positional,Stockfish-1000,10,5.0
positional,Stockfish-1200,10,0.0
positional,Stockfish-1400,10,0.0
positional,Stockfish-1000,20,0.0
positional,Stockfish-1200,20,0.0
positional,Stockfish-1400,20,0.0
positional,Stockfish-1000,30,5.0
positional,Stockfish-1200,30,0.0
positional,Stockfish-1400,30,5.0
positional,Stockfish-1000,40,25.0
positional,Stockfish-1200,40,5.0
positional,Stockfish-1400,40,10.0
positional,Stockfish-1000,50,10.0
positional,Stockfish-1200,50,0.0
positional,Stockfish-1400,50,5.0
positional,Stockfish-1000,60,25.0
positional,Stockfish-1200,60,5.0
positional,Stockfish-1400,60,0.0
positional,Stockfish-1000,70,5.0
positional,Stockfish-1200,70,5.0
positional,Stockfish-1400,70,10.0
positional,Stockfish-1000,80,5.0
positional,Stockfish-1200,80,15.0
positional,Stockfish-1400,80,20.0
positional,Stockfish-1000,90,15.0
positional,Stockfish-1200,90,15.0
positional,Stockfish-1400,90,5.0
positional,Stockfish-1000,100,45.0
positional,Stockfish-1200,100,15.0
positional,Stockfish-1400,100,15.0
positional,Stockfish-1000,110,25.0
positional,Stockfish-1200,110,30.0
positional,Stockfish-1400,110,5.0
positional,Stockfish-1000,120,35.0
positional,Stockfish-1200,120,20.0
positional,Stockfish-1400,120,15.0
positional,Stockfish-1000,130,40.0
positional,Stockfish-1200,130,20.0
positional,Stockfish-1400,130,35.0
positional,Stockfish-1000,140,25.0
positional,Stockfish-1200,140,40.0
positional,Stockfish-1400,140,30.0
positional,Stockfish-1000,150,20.0
positional,Stockfish-1200,150,20.0
positional,Stockfish-1400,150,30.0
positional,Stockfish-1000,160,20.0
positional,Stockfish-1200,160,10.0
positional,Stockfish-1400,160,30.0
positional,Stockfish-1000,170,25.0
positional,Stockfish-1200,170,15.0
positional,Stockfish-1400,170,50.0
positional,Stockfish-1000,180,10.0
positional,Stockfish-1200,180,35.0
positional,Stockfish-1400,180,30.0
positional,Stockfish-1000,190,30.0
positional,Stockfish-1200,190,25.0
positional,Stockfish-1400,190,20.0
positional,Stockfish-1000,200,45.0
positional,Stockfish-1200,200,15.0
positional,Stockfish-1400,200,25.0
positional,Stockfish-1000,210,30.0
positional,Stockfish-1200,210,35.0
positional,Stockfish-1400,210,30.0
positional,Stockfish-1000,220,35.0
positional,Stockfish-1200,220,25.0
positional,Stockfish-1400,220,25.0
positional,Stockfish-1000,230,35.0
positional,Stockfish-1200,230,25.0
positional,Stockfish-1400,230,50.0
positional,Stockfish-1000,240,45.0
positional,Stockfish-1200,240,35.0
positional,Stockfish-1400,240,30.0
positional,Stockfish-1000,250,55.0
positional,Stockfish-1200,250,35.0
positional,Stockfish-1400,250,20.0
positional,Stockfish-1000,260,30.0
positional,Stockfish-1200,260,35.0
positional,Stockfish-1400,260,30.0
positional,Stockfish-1000,270,25.0
positional,Stockfish-1200,270,35.0
positional,Stockfish-1400,270,20.0
positional,Stockfish-1000,280,40.0
positional,Stockfish-1200,280,10.0
positional,Stockfish-1400,280,30.0
positional,Stockfish-1000,290,45.0
positional,Stockfish-1200,290,30.0
positional,Stockfish-1400,290,10.0
positional,Stockfish-1000,300,50.0
positional,Stockfish-1200,300,10.0
positional,Stockfish-1400,300,45.0
positional,Stockfish-1000,310,40.0
positional,Stockfish-1200,310,20.0
positional,Stockfish-1400,310,30.0
positional,Stockfish-1000,320,30.0
positional,Stockfish-1200,320,25.0
positional,Stockfish-1400,320,25.0
positional,Stockfish-1000,330,45.0
positional,Stockfish-1200,330,30.0
positional,Stockfish-1400,330,45.0
positional,Stockfish-1000,340,45.0
positional,Stockfish-1200,340,30.0
positional,Stockfish-1400,340,20.0
positional,Stockfish-1000,350,40.0
positional,Stockfish-1200,350,25.0
positional,Stockfish-1400,350,5.0
